row_id,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
36,Hiroyuji,Bressan,M,765,1000000,HILLSDALE,IN,28105,M,Y,19000,2.479763,1000,24500,1000
37,Hiroyuji,Rahmat,M,765,1000000,COWANESQUE,PA,47854,S,Y,19000,6.483577,1370,3000,1000
38,Hiroyuji,Rahmat,M,765,1000000,HILLSDALE,IN,47854,S,Y,40500,3.4,2000,6600,1000
39,Hiroyuji,Tiemann,M,765,1000000,HILLSDALE,IN,50675,M,Y,56500,3.4,1000,0,2475
40,Hiroyuji,Demir,M,209,1000054,CUDAHY,IN,47854,S,Y,19000,3.4,1000,0,400
41,Mordechai,Leifert,M,989,1000000,KINTA,AL,74552,S,Y,8500,6.25,1000,0,1000
42,Mordechai,Leifert,M,239,1015096,CASEYVILLE,OK,74552,S,Y,40500,6.25,1000,40,40
43,Mordechai,Leifert,M,580,1000000,KINTA,OK,79853,S,Y,40500,3.773037,2250,1800,1040
44,Mordechai,Ardis,F,580,1000000,COTULLA,OK,74552,S,Y,40500,6.25,1000,4950,103
45,Mordechai,Leifert,M,980,1000000,KINTA,OK,74552,S,Y,81000,4.9589705,1000,0,400
46,Mordechai,Lally,F,580,1005302,CHENOA,OK,74552,S,Y,40500,6.25,1000,0,0
47,Mordechai,Leifert,M,952,1017836,KINTA,AK,74552,S,Y,5500,6.25,1000,0,1000
48,Mordechai,Leifert,M,915,1000000,KINTA,HI,74552,M,N,40500,6.5249996,1000,0,1000
49,Mordechai,Leifert,M,551,1000000,DALY CITY,OK,60439,S,N,40500,6.25,1000,1400,1000
50,Mordechai,Leifert,M,580,1000000,KINTA,OK,74552,S,Y,40500,6.25,1000,0,1000
51,Toyohisa,Vidal,F,563,1000000,SWARTZ,CA,32117,M,N,12000,0,0,0,0
52,Toyohisa,Vidal,F,954,1001866,DAYTONA BEACH,FL,32117,S,N,54500,0,0,4950,0
53,Toyohisa,Vidal,F,859,1000000,DAYTONA BEACH,FL,32117,S,Y,12000,0,900,40,0
54,Toyohisa,Vidal,M,954,1000000,IDER,FL,32117,S,Y,53000,0,0,206,0
55,Toyohisa,Vidal,M,954,1000000,DAYTONA BEACH,FL,32117,M,Y,19500,0,0,3800,0
56,Toyohisa,Bruno,F,661,1000000,DAYTONA BEACH,FL,32506,S,N,12000,0,3575,12000,0
57,Toyohisa,Vidal,F,432,1017260,DAYTONA BEACH,FL,32117,S,Y,12000,2.440875,0,206,0
58,Toyohisa,Vidal,F,954,1012855,DAYTONA BEACH,FL,32117,M,N,12000,0,0,4950,2300
59,Toyohisa,Vidal,F,954,1000000,DAYTONA BEACH,FL,32117,S,N,12000,0,0,0,0
60,Toyohisa,Vidal,F,203,1019685,DAYTONA BEACH,FL,32117,S,N,39000,0,0,5700,2400
61,Jerrold,Maciel,M,206,1010747,WHEELER,IN,46393,S,Y,2000,3.4,1000,0,110
62,Jerrold,Gausemeier,M,915,1000000,BURTRUM,IN,46393,S,Y,11500,0.7617923,1000,0,1000
63,Jerrold,Gausemeier,M,574,1000000,MUSE,MA,98386,S,Y,80500,3.4,1000,0,1000
64,Jerrold,Gausemeier,F,574,1000000,BUFFALO,IN,46393,M,N,2000,3.4,1000,5700,1000
65,Jerrold,Gausemeier,M,574,1015065,WHEELER,IN,90662,S,N,2000,1.9440937,1900,0,1000
66,Jerrold,Gausemeier,M,574,1000000,WHEELER,OK,46393,S,Y,2000,3.4,1000,2080,3100
67,Jerrold,Gausemeier,M,574,1000000,HUNTSVILLE,IN,34474,S,Y,20000,3.4,0,0,1000
68,Jerrold,Gausemeier,M,574,1000000,WHEELER,OR,71730,S,Y,2000,3.4,87,0,3000
69,Jerrold,Gausemeier,M,574,1000000,WHEELER,IN,46393,S,Y,2000,3.4,1000,0,1000
70,Jerrold,Gausemeier,M,213,1000000,WEST TOPSHAM,IN,46393,M,Y,2000,6.141608,1000,0,1000
71,Rosa,Hooley,F,608,1001663,KNAPP,WI,6050,M,N,21000,4.8112817,1500,1400,0
72,Rosa,Hopewell,F,608,1004046,NORTH ROSE,WI,54749,M,N,96000,4.8112817,2250,1400,0
73,Rosa,Easwarakumar,F,662,1000000,HENRYVILLE,WI,54749,M,N,15500,4.8112817,0,1400,0
74,Rosa,Mandiau,F,352,1000000,KNAPP,WI,54749,M,N,10000,5.73,0,2080,0
75,Rosa,Mandiau,F,682,1000000,KNAPP,NE,54749,M,N,21000,4.8112817,1300,1400,40
76,Rosa,Coates,F,608,1000000,STAFFORDSVILLE,NY,54749,M,N,33500,4.8112817,0,4000,0
77,Rosa,Mandiau,M,608,1000000,ANKENY,HI,54749,M,N,21000,4.8112817,0,1400,0
78,Rosa,Heggernes,F,224,1016649,KNAPP,WI,54749,S,N,21000,2.9475,0,1400,0
79,Rosa,Mandiau,F,608,1000000,KNAPP,WI,79838,S,N,21000,4.8112817,0,318,1500
80,Rosa,Mandiau,F,608,1000000,KNAPP,WI,54749,M,N,21000,4.8112817,0,1400,0
81,Debby,Salverda,F,763,1000000,MENO,OK,73760,S,Y,63500,4.9613023,110,2740,1000
82,Debby,Kombarov,F,504,1016954,MENO,OK,46321,M,Y,63500,6.25,1000,2740,1000
83,Debby,Avouris,F,939,1000000,MENO,OR,73760,S,N,63500,4.815613,1000,0,1000
84,Debby,Gudjonsson,F,918,1000000,MENO,OK,72847,S,Y,63500,2.6143541,1000,1400,2400
85,Debby,Berard,M,918,1000000,MORRICE,WA,73760,S,Y,63500,6.25,700,0,1000
86,Debby,Kombarov,F,918,1002485,BRONSTON,OH,73760,S,Y,63500,4.4518294,1000,0,1000
87,Debby,Kombarov,F,617,1015505,MENO,OK,73760,S,Y,77500,6.25,1000,0,20
88,Debby,Kombarov,F,918,1000000,MOUNT UNION,VA,73760,S,N,39500,6.25,900,0,1000
89,Debby,Kombarov,F,918,1000000,MENO,OK,73760,S,Y,63500,6.25,1000,0,1000
90,Debby,Weatherhead,F,918,1013494,CHIPPEWA BAY,OK,73760,S,Y,63500,6.25,1000,4200,159
91,Anzhelika,Wabbi,M,435,1000000,DIVERNON,KS,19549,S,Y,31500,7,20,0,2475
92,Anzhelika,Wabbi,M,435,1000000,FAIRVIEW,UT,84629,S,Y,31500,7,2475,0,2475
93,Anzhelika,Wabbi,M,435,1013312,LINESVILLE,LA,84629,S,Y,31500,7,0,0,2475
94,Anzhelika,Wabbi,M,810,1000000,FAIRVIEW,UT,57105,S,Y,8500,7,2475,0,2475
95,Anzhelika,Wabbi,M,706,1000000,FAIRVIEW,UT,84629,S,Y,47500,1.243118,159,80,2475
96,Anzhelika,Wabbi,F,704,1015024,FAIRVIEW,MD,84629,S,Y,31500,2.914935,2475,0,2475
97,Anzhelika,Wabbi,M,661,1000000,MIDWAY CITY,UT,84629,S,Y,31500,7,2475,206,2475
98,Anzhelika,Wabbi,M,551,1010121,FAIRVIEW,LA,84629,S,Y,31500,7,2475,0,110
99,Anzhelika,Wabbi,M,435,1015344,SPRING DALE,UT,84629,S,Y,31500,1.9204376,2475,1800,2475
100,Anzhelika,Dorsett,M,435,1000000,FAIRVIEW,FL,10265,M,Y,31500,7,2475,0,3300
101,Olivier,Zolla,F,203,1000000,INGLEWOOD,CA,90304,M,N,92000,9.3,0,174,0
